"iduser";"pseudo";"name";"surname";"idusershare";"pseudoshare";"nameshare";"surnameshare";"idtrack";"nametrack"
128;Alexandre4;Gauthier;Alexandre;360;Mattéo3;Bourgeois;Mattéo;"0lkQfsTMmtDA37tjjew9n0";Naha
320;Alexandre8;Schmitt;Alexandre;250;Léonie;Carpentier;Léonie;"0u6HzAVFUBiKslzPF9G9vd";Dis-moi que tu m'aimes
226;Mélissa;Labbe;Mélissa;311;Lisa;Gregoire;Lisa;"0uqFTuDLbIyCZG9yNYsqcG";Silver Bells (feat. Naturally 7)
190;Dumas;Dumas;"";252;Célia;Fouquet;Célia;"0vJ3Y2MnDXi4hpxSeQdQEC";Sweet Wanomi
69;Adrian2;Blondel;Adrian;200;Dos santos;Dos santos;"";"0w6lsLBvhtGcqMYA7MB7r6";La Quête
186;Julia;Guillot;Julia;343;Gabriel3;Gerard;Gabriel;"0y7VYuQbKKkiXp1xuNwSH8";Paradis
242;Ethan2;Faure;Ethan;88;Normand;Normand;"";"12NHbTJ9lbrKqlAdHYhvxM";F*LOVE (feat. Dímelo Flow & Dj Adoni)
103;Yohan2;Mary;Yohan;453;Lana;Wagner;Lana;"13WPj6r2DVNU3GoZtMc9eU";Living a Boy's Adventure Tale
226;Mélissa;Labbe;Mélissa;497;Élouan6;Langlois;Élouan;"14hLSMLJ86sHRklJ62tH58";Django
26;Erwan;Gautier;Erwan;499;Corentin3;Gervais;Corentin;"16znV4n3VrHaHIkNcU5s6c";Tokarev
299;Malo3;Prevost;Malo;417;Adrien7;Morin;Adrien;"17iXucMQMB1Ph3sXU3ZOMi";Redescends
224;Enzo3;Da silva;Enzo;139;Edwige;Fischer;Edwige;"1BA5Mp9X9T851d4I5SRRUF";Am I That Easy to Forget
74;Félix3;Monnier;Félix;288;Simon7;Leclercq;Simon;"1Eu8fe487T5QObqLRrX2V0";Pilote
224;Enzo3;Da silva;Enzo;435;Maxence6;Delmas;Maxence;"1FfyfDk74a1sGc1EpiT1YY";Fiha Khair
471;Lily2;Andrieux;Lily;254;Valentin2;Favier;Valentin;"1Lulg5ZiMEXy3QNwb1PB8I";Zipette
339;Paul2;Bazin;Paul;496;Noah7;Charpentier;Noah;"1OR5ZdPn0dY2qTCGTgAK9l";Malade
210;Alexandre6;Monier;Alexandre;406;Villain;Villain;"";"1PAnXbDJukLAWqMaAdsJSx";Focus
201;Laura;Dias;Laura;498;Roméo6;Legrand;Roméo;"1QL8zb5rHle1c9OM0lo4cG";Put Your Lights On (feat. Everlast)
320;Alexandre8;Schmitt;Alexandre;402;Lucas;Lemoine;Lucas;"1QR6jNjv3Ni1EceKI54Ls6";Oublié - Demo version
365;Clément3;Bataille;Clément;118;Renaud2;Maurice;Renaud;"1QyHMejQg7HBdT4prFkPNr";Ma gentillesse
118;Renaud2;Maurice;Renaud;275;Élouan3;Prevot;Élouan;"1VVOOk6L2nFzZKakKIAM8E";Monica
118;Renaud2;Maurice;Renaud;21;Élouan;Perret;Élouan;"1ZrkOlKJ9db1cHnL1xEyfd";P A S C O M M E Ç A
252;Célia;Fouquet;Célia;152;Noë2;Durant;Noë;"1awQrzYHD4Utu201hKdK0l";MA CABEZA
343;Gabriel3;Gerard;Gabriel;77;Mathéo2;Paris;Mathéo;"1b3nCMRFrqTOcPEEpCaQ8j";Regarde-moi
14;Kilian;Henry;Kilian;88;Normand;Normand;"";"1bWACDppxjESmjkXMl6cnI";Ipséité - Bonus Track
41;Alexia;Schmidt;Alexia;499;Corentin3;Gervais;Corentin;"1bWACDppxjESmjkXMl6cnI";Ipséité - Bonus Track
342;Quentin5;Georges;Quentin;496;Noah7;Charpentier;Noah;"1gVnckXtTdCoLwtiPPqlQS";A l'ammoniaque
81;Kilian2;Roques;Kilian;69;Adrian2;Blondel;Adrian;"1ifn7q27E3ljtsc1gAgKLD";KOOL KIDS
164;Tristan;Comte;Tristan;41;Alexia;Schmidt;Alexia;"1nj6GWXxUIUJSQspaHWTAE";The Day That Love Began
299;Malo3;Prevost;Malo;401;Arthur3;Leger;Arthur;"1onu17SlBKJtd9DCx1xicJ";J'kiff ma Life
363;Adrien5;Nguyen;Adrien;139;Edwige;Fischer;Edwige;"1qLeX26IEu3kPWxPfyBMGd";RX
417;Adrien7;Morin;Adrien;224;Enzo3;Da silva;Enzo;"1rv46mRwDqMEhOBZ7vODg3";It's Beginning to Look a Lot like Christmas
21;Élouan;Perret;Élouan;281;Florentin2;Dubois;Florentin;"1u0ZfkVGEM8dQ1vMcLXu1K";El Farol
159;Cédric3;Bouvier;Cédric;97;Bruno2;Monier;Bruno;"1w7cgGZR86yWz1pA2puVJD";HEATED
417;Adrien7;Morin;Adrien;160;Gaspard;Levy;Gaspard;"1xtfUae857RhiCclSlAOIV";LA KILIÉ
41;Alexia;Schmidt;Alexia;435;Maxence6;Delmas;Maxence;"21fhtn3nUtqtVaAMHFQCvR";Au bord de la mer
118;Renaud2;Maurice;Renaud;457;Florentin4;Noel;Florentin;"22QtX4XIzqVAVIfPx8cXtX";Health And Time
453;Lana;Wagner;Lana;256;Aaron3;Prat;Aaron;"23d8v6tU6lR77pFKsApMtF";NADIE SABE
367;Justine;Regnier;Justine;219;Paul;Gillet;Paul;"24tWhzvnT9YFH2Q2CUJSJy";RS3
301;Ethan3;Lefort;Ethan;498;Roméo6;Legrand;Roméo;"24wmsEUpgKWscvfABi15VI";Full Black
226;Mélissa;Labbe;Mélissa;26;Erwan;Gautier;Erwan;"26vrgLpb9jKMNj4AUjwUF5";I Will Remember You
86;Timéo;Marin;Timéo;320;Alexandre8;Schmitt;Alexandre;"27TfEElo4avYcc2OgcknIi";Forgiveless (feat. Ol' Dirty Bastard)
413;Romane;Petit;Romane;25;Dylan;Rey;Dylan;"28snZVeMwzYdolW7h1wpHb";Balance
164;Tristan;Comte;Tristan;30;Kevin;Delahaye;Kevin;"298My2E9vU1ihwi7deeeZM";ERASE U
25;Dylan;Rey;Dylan;419;Félix7;Monnier;Félix;"2AiAZPkjIRvJGTxChqm9LF";BX Land 7
219;Paul;Gillet;Paul;299;Malo3;Prevost;Malo;"2FPfeYlrbSBR8PwCU0zaqq";Have Yourself A Merry Little Christmas - Remastered 1999
497;Élouan6;Langlois;Élouan;339;Paul2;Bazin;Paul;"2G4C8evrYTOcMhWNSKSBoy";Special
419;Félix7;Monnier;Félix;435;Maxence6;Delmas;Maxence;"2Ik3R0xFoPNqgFNOz8prCM";Dance 4 u
406;Villain;Villain;"";88;Normand;Normand;"";"2LiDZmGERLzjrtBTCofj2G";Dreamland
210;Alexandre6;Monier;Alexandre;396;Zacharis3;Magnier;Zacharis;"2RRpaU7jFVcwo23pthdnBv";Head Shoulders Knees & Toes (feat. Norma Jean Martine)
160;Gaspard;Levy;Gaspard;209;Louise;David;Louise;"2SMO9OW1G7dojLjZjoKVFD";Hola
212;Kyllian;Vial;Kyllian;338;Renaud5;Laine;Renaud;"2SMO9OW1G7dojLjZjoKVFD";Hola
226;Mélissa;Labbe;Mélissa;482;Leonard;Leonard;"";"2SbpyLDBCQERBP26reFuud";Love
228;Lorenzo2;Brault;Lorenzo;482;Leonard;Leonard;"";"2Sdixt3OOx3GfBcexWXjTD";I'm Not Gonna Miss You
229;Thibault;Richard;Thibault;203;Lily;Poirier;Lily;"2Vo453mYtLPh6x7EOuMyps";A.P
118;Renaud2;Maurice;Renaud;342;Quentin5;Georges;Quentin;"2X7od4A5CyCUGppLUEkpXD";Droit au but
74;Félix3;Monnier;Félix;301;Ethan3;Lefort;Ethan;"2X8zs2ZXyTkv9PQNwqv76h";Mamacita
128;Alexandre4;Gauthier;Alexandre;25;Dylan;Rey;Dylan;"2ZJYiKx3nMdq3haqCYhtDN";Même pas un grincement
209;Louise;David;Louise;203;Lily;Poirier;Lily;"2altf0O8L095UtQGBTBE0x";Mélodie Perdue
25;Dylan;Rey;Dylan;38;Cédric2;Lacoste;Cédric;"2cQmTZu1GAd89HtnXduE5o";J'fais la passe
275;Élouan3;Prevot;Élouan;152;Noë2;Durant;Noë;"2cSXhmzogOuEpRmHnMmlxM";Girl Of My Dreams
14;Kilian;Henry;Kilian;22;Grégory;Dupond;Grégory;"2ct8sYE8u8UZT229rWvXwL";Elle a mal (feat. Niska)
265;Quentin3;Vincent;Quentin;367;Justine;Regnier;Justine;"2eM4KpDwayfSSJEmzTAtVn";N'importe quoi
47;Félix;Chapuis;Félix;262;Sarah;Lejeune;Sarah;"2eM4KpDwayfSSJEmzTAtVn";N'importe quoi
152;Noë2;Durant;Noë;406;Villain;Villain;"";"2eREA2iPJkVLY07XLiEMHO";Heat
201;Laura;Dias;Laura;25;Dylan;Rey;Dylan;"2ghzzQBOuTOWHrpv2hSWZJ";Rrepeat
137;Louis;Tessier;Louis;159;Cédric3;Bouvier;Cédric;"2hpkJXDazDwHC5DowEcq4T";Loving You Again - 2019 Remaster
419;Félix7;Monnier;Félix;413;Romane;Petit;Romane;"2n7919VBdSKS4KrPrliuTo";Vulgaire
92;Adrien;Martineau;Adrien;88;Normand;Normand;"";"2nGAMBq9mGI6qcPxJdYASA";Snowflakes
209;Louise;David;Louise;218;Legrand;Legrand;"";"32vCnWdVuYCRhwGJglDMae";L'APPEL
288;Simon7;Leclercq;Simon;406;Villain;Villain;"";"34bQQPkwlEmmieMlNAIfck";Téco
254;Valentin2;Favier;Valentin;445;Gabriel4;Charrier;Gabriel;"37F4rEPvLPlkEUMPei8IS2";MAMA
262;Sarah;Lejeune;Sarah;465;Davy8;Moulin;Davy;"3A17uQFJab0NDpyIeZAavF";Big 7
74;Félix3;Monnier;Félix;492;Regnier5;Regnier;"";"3DIYanBth8SOpko0IIB5CD";J'picole
301;Ethan3;Lefort;Ethan;338;Renaud5;Laine;Renaud;"3Eax1yebRxj6LSYpxE9Yd3";VAMPIROS
302;Amine2;Vallet;Amine;256;Aaron3;Prat;Aaron;"3H398hWCL0DCKJHNQmURPP";Santa Monica
69;Adrian2;Blondel;Adrian;496;Noah7;Charpentier;Noah;"3HNnveiHH8Q1CbkYSGIjdc";La machine
492;Regnier5;Regnier;"";383;Yanis;Bouvier;Yanis;"3I0LjZQaOPQyzbQi3cbRfN";Ça débite
360;Mattéo3;Bourgeois;Mattéo;30;Kevin;Delahaye;Kevin;"3IO8oAXdB6oAyLuknv4FYc";Quitter la maison
365;Clément3;Bataille;Clément;446;Amandine;Guichard;Amandine;"3LK81r3yptHlliNgLBo1UC";Murder
219;Paul;Gillet;Paul;360;Mattéo3;Bourgeois;Mattéo;"3Lkt1xGzHXV6bEsmtJNEyn";Cucaracha
419;Félix7;Monnier;Félix;383;Yanis;Bouvier;Yanis;"3N3JJE1X1QqFefAYCw6gkH";Sunday Bloody Sunday - Remastered 2010
311;Lisa;Gregoire;Lisa;77;Mathéo2;Paris;Mathéo;"3NpaFfvm3TInOwjMOhJejC";Satan 2
499;Corentin3;Gervais;Corentin;275;Élouan3;Prevot;Élouan;"3QnbMJz4eUjNw91pXztq8f";Ca vend
224;Enzo3;Da silva;Enzo;160;Gaspard;Levy;Gaspard;"3SKKn2RJgtKoxX4t6S35VI";Jingle Bells
226;Mélissa;Labbe;Mélissa;103;Yohan2;Mary;Yohan;"3SURw9jAbjvYqVJZ4ZRaWs";Juice
25;Dylan;Rey;Dylan;343;Gabriel3;Gerard;Gabriel;"3Vik9BQYUNIyVocVi1IOJ4";Come On - Stereo Version
69;Adrian2;Blondel;Adrian;86;Timéo;Marin;Timéo;"3alArx2jfAOvkWeVClvmyZ";Mon Beau Sapin Karaoke
282;Diego3;Moulin;Diego;417;Adrien7;Morin;Adrien;"3bNNvJA7hsGw0wSpGkfOBm";Too Sad to Dance
417;Adrien7;Morin;Adrien;14;Kilian;Henry;Kilian;"3cnayeUGK0a6bNAeQ9ksfp";Come Home to My Heart
139;Edwige;Fischer;Edwige;252;Célia;Fouquet;Célia;"3e3hsCkRNktnXeP6ZG4FYR";Khemem
478;Tristan4;Michel;Tristan;413;Romane;Petit;Romane;"3eQwtgoiVKbaYuX0ITe2fU";Unforgettable
200;Dos santos;Dos santos;"";265;Quentin3;Vincent;Quentin;"3fTryDJnvpC4K2o8FfCA6r";Sur la selle
229;Thibault;Richard;Thibault;88;Normand;Normand;"";"3hRV0jL3vUpRrcy398teAU";The Night We Met
250;Léonie;Carpentier;Léonie;435;Maxence6;Delmas;Maxence;"3im90dPSC5z1PYJ305kgSy";BODIES (feat. Damso)
343;Gabriel3;Gerard;Gabriel;118;Renaud2;Maurice;Renaud;"3ipAYgF0kfcdPrebbd6uCt";Le métier
262;Sarah;Lejeune;Sarah;74;Félix3;Monnier;Félix;"3k0fZo6WeZcTdCAIXZPui6";Toxic
201;Laura;Dias;Laura;47;Félix;Chapuis;Félix;"3k0fZo6WeZcTdCAIXZPui6";Toxic
160;Gaspard;Levy;Gaspard;190;Dumas;Dumas;"";"3m9RG4xU9XOzJTaOE7gZ4z";WWE
159;Cédric3;Bouvier;Cédric;492;Regnier5;Regnier;"";"3q6eAj1u3ilsyiWG8r15Kj";L'opportuniste
302;Amine2;Vallet;Amine;498;Roméo6;Legrand;Roméo;"3qh90ItTcYceX08Z1ZpImM";Dans ma tête
256;Aaron3;Prat;Aaron;22;Grégory;Dupond;Grégory;"3smKonjHBpJTqyxZ2w1Rtv";Idlewild
299;Malo3;Prevost;Malo;113;Alexandra;Berthier;Alexandra;"3sro7j7pDMNquQEQHKa2xR";Mercredi
254;Valentin2;Favier;Valentin;88;Normand;Normand;"";"3tAg5SGPaQmXuLdYlsp7QI";Ave Maria
105;Fabrice;Legros;Fabrice;113;Alexandra;Berthier;Alexandra;"3w9OyPSIXaD3kKeFhJoWaR";Akatsuki
275;Élouan3;Prevot;Élouan;25;Dylan;Rey;Dylan;"41IclbKx0LZApIlbBZdDLI";Comme moi (feat. Tiakola)
135;Corentin;Pujol;Corentin;475;Adam4;Colas;Adam;"42koItqq5r5ZoXj8TTt36D";BALLE DANS LE COEUR
282;Diego3;Moulin;Diego;360;Mattéo3;Bourgeois;Mattéo;"43eoqH9CIZqy7VXLnwwMnu";Daddy
88;Normand;Normand;"";467;Constant2;Schneider;Constant;"478MUVateeBsNeJlUAMU6V";Wrap It Up - Remastered Version
103;Yohan2;Mary;Yohan;71;Nolan2;Leduc;Nolan;"4DNBYLhpqCL1Yxboo2aUcO";Vive le gang
210;Alexandre6;Monier;Alexandre;288;Simon7;Leclercq;Simon;"4E2jBeeZstEEf9hfahw4OE";Le crime parfait
478;Tristan4;Michel;Tristan;286;Bastien3;Francois;Bastien;"4EDijkJdHBZZ0GwJ12iTAj";Stargirl Interlude
497;Élouan6;Langlois;Élouan;435;Maxence6;Delmas;Maxence;"4Ein3rwjrThpDLwlzegbj6";Guerre de bouteille
92;Adrien;Martineau;Adrien;97;Bruno2;Monier;Bruno;"4IieoMXpQUfnrq5BUJ4UyL";A Christmas Letter
105;Fabrice;Legros;Fabrice;435;Maxence6;Delmas;Maxence;"4LAGHmHcSt0HHwXCJcFri6";"91's"
186;Julia;Guillot;Julia;401;Arthur3;Leger;Arthur;"4LAGHmHcSt0HHwXCJcFri6";"91's"
344;Mathéo6;Brunet;Mathéo;77;Mathéo2;Paris;Mathéo;"4MXjNlvbzwCMWHrxlya9pW";Jingle Bells (with The Ken Lane Singers)
256;Aaron3;Prat;Aaron;498;Roméo6;Legrand;Roméo;"4QAkqeYjgnc9bM0loULJsT";J'encaisse (feat. Karaji)
301;Ethan3;Lefort;Ethan;383;Yanis;Bouvier;Yanis;"4QiJK3bjjI3mbzyKDjjGlg";Jolie Go
228;Lorenzo2;Brault;Lorenzo;301;Ethan3;Lefort;Ethan;"4XXqOhBnrCVRx7DE04p7Hn";J'ai mal
377;Paul3;Simon;Paul;210;Alexandre6;Monier;Alexandre;"4cMetBWdY9Gqw6QMprw9BD";Haut-parleur
77;Mathéo2;Paris;Mathéo;252;Célia;Fouquet;Célia;"4cW0FXhN81yZ6YHVmFnsyG";"25 G"
71;Nolan2;Leduc;Nolan;230;Hugo5;Marion;Hugo;"4eSduoSXJ2F5k39DVAyYGd";Lying from You
103;Yohan2;Mary;Yohan;226;Mélissa;Labbe;Mélissa;"4eWcCSJEe0d1gCEdKqyiHS";J'aime Bien!
118;Renaud2;Maurice;Renaud;454;Killian3;Prevot;Killian;"4fYte8ZvTK14NEhAOZocBi";I Ain't Worried
288;Simon7;Leclercq;Simon;339;Paul2;Bazin;Paul;"4hdIr8UJyYCiMs5bXJ1hCv";Intuition - Remastered 2010
159;Cédric3;Bouvier;Cédric;128;Alexandre4;Gauthier;Alexandre;"4hdIr8UJyYCiMs5bXJ1hCv";Intuition - Remastered 2010
498;Roméo6;Legrand;Roméo;105;Fabrice;Legros;Fabrice;"4izmyQcssvHEpC8cCFqQam";Préjudice
312;Kilian4;Magnier;Kilian;26;Erwan;Gautier;Erwan;"4nLv3uEQyPoSrsspYJ0Rbz";Stratos
41;Alexia;Schmidt;Alexia;209;Louise;David;Louise;"4s9yJxigfOmOCgcM1rRCNE";Au BPM
137;Louis;Tessier;Louis;38;Cédric2;Lacoste;Cédric;"4scN2nerfUFhrA2SyXExsT";Comics
81;Kilian2;Roques;Kilian;86;Timéo;Marin;Timéo;"4waeGjPW1ovLjhbScVibAH";La vivance (feat. Koba LaD)
344;Mathéo6;Brunet;Mathéo;71;Nolan2;Leduc;Nolan;"4wiMVgUEXjGqHpMryTilSR";J'ai fait le tri
262;Sarah;Lejeune;Sarah;230;Hugo5;Marion;Hugo;"4yTwd31QyWv6Hl3bMfQlzT";Le jour où la pluie viendra
499;Corentin3;Gervais;Corentin;33;Alexis;Boulet;Alexis;"4zEmYS7MHHJBxNNYkhuSPj";"2 gouttes d'eau"
33;Alexis;Boulet;Alexis;256;Aaron3;Prat;Aaron;"4zcoGX2OQMMf4gs6KO9jzX";Temporary Secretary - Remastered 2011
419;Félix7;Monnier;Félix;103;Yohan2;Mary;Yohan;"56y1jOTK0XSvJzVv9vHQBK";Paint The Town Red
86;Timéo;Marin;Timéo;200;Dos santos;Dos santos;"";"59mNcwYrVMRhOIhNI3mXAm";Garde la tête haute
88;Normand;Normand;"";224;Enzo3;Da silva;Enzo;"59rtc9KT1CQTYpsnVeVTnY";Christmas Seals Public Service Announcement
110;Marwane;Poulain;Marwane;226;Mélissa;Labbe;Mélissa;"5AlKSrMjBppYiBcGAE6Xe0";Red-Suited Super Man
69;Adrian2;Blondel;Adrian;110;Marwane;Poulain;Marwane;"5AlKSrMjBppYiBcGAE6Xe0";Red-Suited Super Man
281;Florentin2;Dubois;Florentin;201;Laura;Dias;Laura;"5CHMJ7HrGO8cwedWUGo01n";Origine
14;Kilian;Henry;Kilian;435;Maxence6;Delmas;Maxence;"5CsQPd0H27Xkw83OTY2jmL";Bel-Ami
172;Adrien2;Laine;Adrien;92;Adrien;Martineau;Adrien;"5FVd6dIsVLW2NvtT3bsHnW";CR
482;Leonard;Leonard;"";135;Corentin;Pujol;Corentin;"5Go1zjJcLjUq14zdqqsprF";Plus Jamais La Même
256;Aaron3;Prat;Aaron;160;Gaspard;Levy;Gaspard;"5IuquxbuAYmwm9tucytE3J";WWE
496;Noah7;Charpentier;Noah;250;Léonie;Carpentier;Léonie;"5JVf4pCn50ePuE6ZoF5oEg";Un million par mois
33;Alexis;Boulet;Alexis;462;Fabrice3;Tessier;Fabrice;"5JxFWqqJiWPDXDTmQfwas3";AFRIKANBADMAN
69;Adrian2;Blondel;Adrian;360;Mattéo3;Bourgeois;Mattéo;"5KePysfBCzQ00Gjlv2IRSZ";À moitié
159;Cédric3;Bouvier;Cédric;363;Adrien5;Nguyen;Adrien;"5MJdzs3XO6S4hYaF80lekZ";Enfant de la lune
240;Nguyen;Nguyen;"";338;Renaud5;Laine;Renaud;"5N0tnAyEkOWB7TFbYzIQUs";CP_002_ Les aventures de MiniSan
200;Dos santos;Dos santos;"";265;Quentin3;Vincent;Quentin;"5PyDJG7SQRgWXefgexqIge";Agora Hills
135;Corentin;Pujol;Corentin;88;Normand;Normand;"";"5PyDJG7SQRgWXefgexqIge";Agora Hills
342;Quentin5;Georges;Quentin;218;Legrand;Legrand;"";"5QO79kh1waicV47BqGRL3g";Save Your Tears
152;Noë2;Durant;Noë;81;Kilian2;Roques;Kilian;"5UdJ8CYTtVk5zzqhbPMA18";IF NOT FOR YOU
275;Élouan3;Prevot;Élouan;118;Renaud2;Maurice;Renaud;"5VGEgFZfWBoEOGb3Vlo3rU";Tangerine
301;Ethan3;Lefort;Ethan;38;Cédric2;Lacoste;Cédric;"5Y8Zbqlmx97hTM8y5kqo0x";Sensations
265;Quentin3;Vincent;Quentin;201;Laura;Dias;Laura;"5aU4KCKJRh0pYlrwplhRh4";Mother
302;Amine2;Vallet;Amine;498;Roméo6;Legrand;Roméo;"5f5fBrOBCOpLoFaWao5RXu";PETETE
402;Lucas;Lemoine;Lucas;282;Diego3;Moulin;Diego;"5fDyTQCAJ9yPe3fycDxwxJ";Party All The Time
14;Kilian;Henry;Kilian;200;Dos santos;Dos santos;"";"5lDUreQrzenEWIaFSQaiLz";La route est longue
14;Kilian;Henry;Kilian;286;Bastien3;Francois;Bastien;"5mjYQaktjmjcMKcUIcqz4s";Strangers
125;Nolan3;Pons;Nolan;210;Alexandre6;Monier;Alexandre;"5nsudmQITqpqLEhVHRbw6X";Everyday
81;Kilian2;Roques;Kilian;265;Quentin3;Vincent;Quentin;"5qjjlzPLsUhaPC2zxa3rCo";Nouvel homme
320;Alexandre8;Schmitt;Alexandre;209;Louise;David;Louise;"5raubQ8TVZTJO1PFs2bpwq";Every Night
254;Valentin2;Favier;Valentin;132;Breton;Breton;"";"5t62mfkM94q0nlMndTmtmI";Fly
496;Noah7;Charpentier;Noah;240;Nguyen;Nguyen;"";"5xsNR0fpFr7Z6HwnSJo6Om";BABY SAID
365;Clément3;Bataille;Clément;38;Cédric2;Lacoste;Cédric;"5yuHiEsBJZkd97p3YjWbJu";Everyday
482;Leonard;Leonard;"";190;Dumas;Dumas;"";"5zlIzcIoYhmucftEVYh4FV";Marchand De Fruits
108;Constant;Guillon;Constant;212;Kyllian;Vial;Kyllian;"62np54NraH1s2cxZSf0EEK";Bang
446;Amandine;Guichard;Amandine;118;Renaud2;Maurice;Renaud;"64StgFzA4XVeIRIsq3V71W";Afrodrill - Bonus track
159;Cédric3;Bouvier;Cédric;497;Élouan6;Langlois;Élouan;"64dRLL5GxuRy0sfjzWYrEp";OSIMHEN
465;Davy8;Moulin;Davy;445;Gabriel4;Charrier;Gabriel;"65U99sfxmQhVSybLf7uJDH";New York City - Remastered 2010
164;Tristan;Comte;Tristan;341;Erwan2;Martin;Erwan;"68OqlxKDyPNzNx5gJ2hRJu";Jet privé
219;Paul;Gillet;Paul;137;Louis;Tessier;Louis;"69zAnyBtarXinChSUq925t";Magot
113;Alexandra;Berthier;Alexandra;242;Ethan2;Faure;Ethan;"6DBSDcKDo51KcUmEqCTHzB";Je vis je visser
256;Aaron3;Prat;Aaron;125;Nolan3;Pons;Nolan;"6EF8wKKDMhRLqbKadP1sT7";Honoré
195;Agathe;Le corre;Agathe;210;Alexandre6;Monier;Alexandre;"6Fha6tXHkL3r9m9nNqQG8p";Georgia
159;Cédric3;Bouvier;Cédric;299;Malo3;Prevost;Malo;"6HFKeEGEJGI0rIyg2r0iLo";Underneath the Mistletoe
482;Leonard;Leonard;"";339;Paul2;Bazin;Paul;"6I8HXKva9mqUY98hlyhaou";Chandon et Moët
457;Florentin4;Noel;Florentin;86;Timéo;Marin;Timéo;"6PceQ13wojtvHs30XtknFt";Olympe
360;Mattéo3;Bourgeois;Mattéo;71;Nolan2;Leduc;Nolan;"6Qt9ZvCkqhzg3FVqvQ9Qf0";Les petites gens
